slug,name,history_index,date,event,opponent,result,org,events_on_that_date,found_event,found_date,date_matches
izawa-seika,伊澤 星花,14,2021-10-24,DEEP 104 IMPACT,パク・シウ,win,DEEP,(none),DEEP 104 IMPACT,2021-10-23,no(日付誤りの疑い)
rena,RENA,2,2024-03-26,RIZIN LANDMARK 9,シン・ユリ,win,RIZIN,(none),RIZIN LANDMARK 9 in KOBE,2024-03-23,no(日付誤りの疑い)
hiroya,ヒロヤ,17,2020-12-18,DEEP TOKYO IMPACT 2020,原虎徹,loss,DEEP,(none),DEEP TOKYO IMPACT 2020,2020-12-19,no(日付誤りの疑い)
motoya-yuki,元谷 友貴,37,2015-05-17,DEEP 72 IMPACT,チェ・ジョンホン,win,DEEP,(none),DEEP 72 IMPACT,2015-05-16,no(日付誤りの疑い)
nomura-shunta,野村 駿太,7,2022-12-22,DEEP TOKYO IMPACT 2022 7th Round,小金翔,win,DEEP,(none),DEEP TOKYO IMPACT 2022 7th ROUND,2022-12-11,no(日付誤りの疑い)
ohara-juri,大原樹理,27,2018-10-27,DEEP 86 IMPACT,岡村幸範,draw,DEEP,(none),DEEP 91 IMPACT,2019-09-08,no(日付誤りの疑い)
ohara-juri,大原樹理,48,2013-07-20,DEEP TOKYO IMPACT 2013 【ライト級GPリザーブマッチ】,濱村健,win,DEEP,(none),DEEP 88 IMPACT,2019-03-09,no(日付誤りの疑い)
ohara-juri,大原樹理,54,2012-04-07,DEEP CAGE IMPACT 2012,川崎泰裕,win,DEEP,(none),DEEP 58 IMPACT,2012-06-15,no(日付誤りの疑い)
ohara-juri,大原樹理,56,2011-10-29,DEEP CAGE IMPACT 2011,LUIZ,win,DEEP,(none),DEEP 80 IMPACT,2017-10-21,no(日付誤りの疑い)
kuramoto-daigo,倉本大悟,7,2023-12-09,DEEP TOKYO IMPACT 2023 7th ROUND,井上竜旗,win,DEEP,(none),DEEP TOKYO IMPACT 2023 7th ROUND,2023-12-10,no(日付誤りの疑い)
kuramoto-daigo,倉本大悟,10,2022-12-10,DEEP TOKYO IMPACT 2022 7th ROUND,森俊樹,loss,DEEP,(none),DEEP TOKYO IMPACT 2022 7th ROUND,2022-12-11,no(日付誤りの疑い)
abe-daiji,阿部大治,12,2021-02-19,DEEP 100 IMPACT～20th Anniversary～ 【DEEPウェルター級暫定王者決定戦】,レッツ豪太,win,DEEP,(none),DEEP 100 IMPACT ～20th Anniversary～,2021-02-21,no(日付誤りの疑い)
kubota-taito,窪田泰斗,12,2018-10-27,DEEP 86 IMPACT,オーロラ☆ユーキ,loss,DEEP,(none),DEEP 86 IMPACT,2022-10-27,no(日付誤りの疑い)
kozaki-ren,小崎連,7,2023-08-06,DEEP NAGOYA IMPACT 2023 KOBUDO FIGHT 3RD ROUND,切嶋龍輝,win,DEEP,DEEP NAGOYA IMPACT 2023 公武堂ファイト 3rd ROUND/4th ROUND,DEEP NAGOYA IMPACT 2023 公武堂ファイト 3rd ROUND/4th ROUND,2023-08-06,yes
saito-momoko,百湖,5,2023-11-22,DEEP JEWELS 43,栗山葵,loss,DEEP,(none),DEEP JEWELS 43,2023-11-23,no(日付誤りの疑い)
nakamura-yusaku,中村優作,22,2012-12-08,DEEP CAGE IMPACT 2012 in TOKYO 2nd ROUND,和田竜光,draw,DEEP,(none),DEEP 62 IMPACT,2013-04-26,no(日付誤りの疑い)
shirakawa-rikuto,白川ダーク陸斗,13,2018-12-28,DEEP 87 IMPACT,北田俊亮,win,DEEP,(none),DEEP 87 IMPACT,2018-12-22,no(日付誤りの疑い)
shinya-aoki,青木真也,30,2010-10-25,DEEP 50 IMPACT 〜10年目の奇跡〜,ヨックタイ・シスオー,win,DEEP,(none),DEEP 50 IMPACT,2010-10-24,no(日付誤りの疑い)
tatsumitsu-wada,和田竜光,27,2012-12-08,DEEP CAGE IMPACT 2012 in TOKYO 2nd ROUND,中村優作,draw,DEEP,(none),DEEP 62 IMPACT,2013-04-26,no(日付誤りの疑い)
tatsumitsu-wada,和田竜光,30,2011-08-27,DEEP 55 IMPACT,DJ.taiki,win,DEEP,(none),DEEP 55 IMPACT,2011-08-26,no(日付誤りの疑い)
tatsumitsu-wada,和田竜光,42,2008-06-29,club DEEP in Nagoya MB3z IMPACT 「ALL STAND UP!!」,赤尾セイジ,loss,DEEP,(none),DEEP PROTECT IMPACT 2008,2008-12-22,no(日付誤りの疑い)
koya-kanda,神田コウヤ,22,2018-10-27,DEEP 86 IMPACT,高塩竜司,loss,DEEP,(none),DEEP 86 IMPACT,2022-10-27,no(日付誤りの疑い)
hinotori,火の鳥,3,2026-02-22,DEEP TOKYO IMPACT 2026 1ST ROUND,中務修良,win,DEEP,(none),DEEP TOKYO IMPACT 2026 1st ROUND,2026-02-23,no(日付誤りの疑い)
ishizuka-koichi,石司晃一,13,2018-10-27,DEEP 86 IMPACT,ハシャーン・フヒト,win,DEEP,(none),DEEP 86 IMPACT,2022-10-27,no(日付誤りの疑い)
sugiyama-kohei,杉山廣平,9,2021-09-24,DEEP 103 IMPACT,駒杵嵩大,win,DEEP,(none),DEEP 103 IMPACT ～20th Anniversary～,2021-09-23,no(日付誤りの疑い)
sugiyama-kohei,杉山廣平,18,2018-05-03,PANCRASE札幌大会 【第24回ネオブラッドトーナメント1回戦】,後藤丈治,win,PANCRASE,(none),PANCRASE札幌大会,2018-05-13,no(日付誤りの疑い)
isao,ISAO,28,2011-05-23,PANCRASE 2011 IMPRESSIVE TOUR 【ライト級GP 2011トーナメント 1回戦】,田村ヒビキ,win,PANCRASE,(none),PANCRASE 2011 IMPRESSIVE TOUR,2011-05-03,no(日付誤りの疑い)
unconfirmed-shooto-1875,砂辺 光久,30,2008-06-29,PANCRASE×REAL vol.1 MMA vs ROCK,清水清隆,win,PANCRASE,(none),PANCRASE 2011 IMPRESSIVE TOUR,2011-06-05,no(日付誤りの疑い)
kurobe-mina,黒部 三奈,18,2015-11-22,DEEP JEWELS 10,スギロック,loss,DEEP,(none),DEEP JEWELS 10,2015-11-23,no(日付誤りの疑い)
sarami,SARAMI,16,2017-05-20,DEEP JEWELS 16,前澤智,win,DEEP,(none),DEEP JEWELS 8,2015-05-31,no(日付誤りの疑い)
fujino-emi,藤野 恵実,1,2025-03-08,PANCRASE 352,本野美樹,loss,PANCRASE,(none),PANCRASE 352,2025-03-09,no(日付誤りの疑い)
